epoch,loss,val_loss
0,3.9186617231369016,3.250733014336206
1,3.082322525024414,3.01880457347497
2,2.8110603704452513,2.896149019997819
3,2.6159990689754484,2.649742171280366
4,2.504168975830078,2.5404567046273026
5,2.4150293045043947,2.4784301384947356
6,2.365371811270714,2.645522736068955
7,2.3219699988365172,2.4758722952433994
8,2.2857554994821547,2.63111040197817
9,2.2667035373449327,2.4115101766765568
0,3.948538914203644,3.2500019611272597
0,3.11171693611145,3.1055872323817777
1,2.837237453699112,2.856005020607683
2,2.6250145032405854,2.7945397671003986
3,2.5154574815034865,2.5268205762805795
